Heart,Calories,Steps,Distance,Age,Gender,Weight,Height,Activity
58,0.249271511,14.45065154,12.64833415,35,M,179,5.6,0.Sleep
82,0.079914341,17.13444107,14.22643338,35,M,179,5.6,0.Sleep
84,0.736365243,37.92759369,33.09165573,35,M,179,5.6,0.Sleep
80,0.553896381,18.96526741,15.04012247,35,M,179,5.6,0.Sleep
76,1.196043825,18.96526741,15.04012247,35,M,179,5.6,0.Sleep
71,2.391154005,18.96526741,15.04012247,35,M,179,5.6,0.Sleep
67,0.626983612,18.96526741,15.04012247,35,M,179,5.6,0.Sleep
70,0.005844982,6.101253424,5.131054109,35,M,179,5.6,1.Sedentary
79,1.320005935,11.38227305,9.21857739,35,M,179,5.6,1.Sedentary
72,1.415205797,11.38227305,9.21857739,35,M,179,5.6,1.Sedentary
66,0.59290409,11.38227305,9.21857739,35,M,179,5.6,1.Sedentary
59,0.211139948,11.38227305,9.21857739,35,M,179,5.6,1.Sedentary
60,0.192311883,11.38227305,9.21857739,35,M,179,5.6,1.Sedentary
62,0.200189308,11.38227305,9.21857739,35,M,179,5.6,1.Sedentary
63,0.109239431,11.38227305,9.21857739,35,M,179,5.6,1.Sedentary
64,0.210096587,11.38227305,9.21857739,35,M,179,5.6,1.Sedentary
66,0.290775454,24.32925396,19.23336348,35,M,179,5.6,1.Sedentary
67,0.448396334,25.25522203,19.94962097,35,M,179,5.6,1.Sedentary
68,0.840474023,25.25522203,19.94962097,35,M,179,5.6,1.Sedentary
69,0.732305258,25.25522203,19.94962097,35,M,179,5.6,1.Sedentary
68,0.400814751,25.25522203,19.94962097,35,M,179,5.6,1.Sedentary
67,0.62406443,25.25522203,19.94962097,35,M,179,5.6,1.Sedentary
66,0.589514071,25.25522203,19.94962097,35,M,179,5.6,1.Sedentary
65,2.186223764,25.25522203,19.94962097,35,M,179,5.6,1.Sedentary
65,1.229591596,25.25522203,19.94962097,35,M,179,5.6,1.Sedentary
64,1.139345414,25.25522203,19.94962097,35,M,179,5.6,1.Sedentary
63,0.154700378,30.81803601,24.69804672,35,M,179,5.6,1.Sedentary
62,0.920818957,31.07943067,24.92117356,35,M,179,5.6,1.Sedentary
61,0.917800217,31.07943067,24.92117356,35,M,179,5.6,1.Sedentary
61,1.890848048,31.07943067,24.92117356,35,M,179,5.6,1.Sedentary
60,2.941314031,31.07943067,24.92117356,35,M,179,5.6,1.Sedentary
60,1.601372534,31.07943067,24.92117356,35,M,179,5.6,1.Sedentary
60,1.223333604,31.07943067,24.92117356,35,M,179,5.6,1.Sedentary
59,0.58464577,31.35493685,25.16768166,35,M,179,5.6,1.Sedentary
59,0.389964574,66.67107793,56.76666311,35,M,179,5.6,1.Sedentary
68,0.189959716,66.67107793,56.76666311,35,M,179,5.6,1.Sedentary
77,0.288585489,66.67107793,56.76666311,35,M,179,5.6,1.Sedentary
86,1.443256093,66.67107793,56.76666311,35,M,179,5.6,1.Sedentary
95,1.468333827,66.67107793,56.76666311,35,M,179,5.6,1.Sedentary
104,2.541476794,66.67107793,56.76666311,35,M,179,5.6,1.Sedentary
113,3.685691421,66.67107793,56.76666311,35,M,179,5.6,1.Sedentary
122,3.960288127,66.67107793,56.76666311,35,M,179,5.6,1.Sedentary
123,4.008648532,66.67107793,56.76666311,35,M,179,5.6,1.Sedentary
123,4.003485558,68.26235807,58.16131836,35,M,179,5.6,1.Sedentary
124,3.932183003,114.3131331,98.52187674,35,M,179,5.6,1.Sedentary
62,2.860004851,104.7657765,90.76991169,35,M,179,5.6,1.Sedentary
64,0.050166023,3.918523853,3.273119924,35,M,179,5.6,1.Sedentary
63,0,3.918523853,3.273119924,35,M,179,5.6,1.Sedentary
62,0.036486643,3.918523853,3.273119924,35,M,179,5.6,1.Sedentary
62,0.133993467,3.918523853,3.273119924,35,M,179,5.6,1.Sedentary
61,0.11851989,3.918523853,3.273119924,35,M,179,5.6,1.Sedentary
60,0.252810687,3.918523853,3.273119924,35,M,179,5.6,1.Sedentary
60,0.541731596,3.918523853,3.273119924,35,M,179,5.6,1.Sedentary
60,0.709143492,2.452990342,2.048968403,35,M,179,5.6,1.Sedentary
59,0.27012143,3.282358599,2.275768629,35,M,179,5.6,1.Sedentary
58,0.328294782,3.607727218,2.501357538,35,M,179,5.6,1.Sedentary
58,0.21196854,3.607727218,2.501357538,35,M,179,5.6,1.Sedentary
58,0.160779014,3.607727218,2.501357538,35,M,179,5.6,1.Sedentary
57,0.18505311,3.607727218,2.501357538,35,M,179,5.6,1.Sedentary
63,0.28932227,3.607727218,2.501357538,35,M,179,5.6,1.Sedentary
69,0.283671488,3.607727218,2.501357538,35,M,179,5.6,1.Sedentary
69,0.198629804,3.607727218,2.501357538,35,M,179,5.6,1.Sedentary
69,0.120185306,3.607727218,2.501357538,35,M,179,5.6,1.Sedentary
69,0.080250386,3.607727218,2.501357538,35,M,179,5.6,1.Sedentary
69,0.174807345,5.271679202,4.1755299,35,M,179,5.6,1.Sedentary
69,0.217661423,5.394555966,4.299161402,35,M,179,5.6,1.Sedentary
69,0.141911584,5.394555966,4.299161402,35,M,179,5.6,1.Sedentary
69,0.155401504,5.394555966,4.299161402,35,M,179,5.6,1.Sedentary
69,0.188983543,5.394555966,4.299161402,35,M,179,5.6,1.Sedentary
65,0.829342778,5.394555966,4.299161402,35,M,179,5.6,1.Sedentary
62,0.160641437,4.003637404,3.190676583,35,M,179,5.6,1.Sedentary
58,0.10061643,0,0,35,M,179,5.6,1.Sedentary
58,0.125493315,0,0,35,M,179,5.6,1.Sedentary
58,0.249925176,0,0,35,M,179,5.6,1.Sedentary
58,0.136965078,0,0,35,M,179,5.6,1.Sedentary
58,0.116523659,1.053858407,0.867676755,35,M,179,5.6,1.Sedentary
58,0.301471982,1.557153911,1.28205672,35,M,179,5.6,1.Sedentary
58,0.271660339,1.557153911,1.28205672,35,M,179,5.6,1.Sedentary
58,0.15511069,1.557153911,1.28205672,35,M,179,5.6,1.Sedentary
59,0.211905526,1.557153911,1.28205672,35,M,179,5.6,1.Sedentary
60,0.255724813,1.557153911,1.28205672,35,M,179,5.6,1.Sedentary
60,0.218410103,1.557153911,1.28205672,35,M,179,5.6,1.Sedentary
59,0.229260935,1.557153911,1.28205672,35,M,179,5.6,1.Sedentary
59,0.567941028,1.557153911,1.28205672,35,M,179,5.6,1.Sedentary
58,0.534242152,1.747231545,1.398311097,35,M,179,5.6,1.Sedentary
58,0.295475739,5.894265157,3.934700024,35,M,179,5.6,1.Sedentary
58,0.244323528,5.894265157,3.934700024,35,M,179,5.6,1.Sedentary
57,0.237899627,5.894265157,3.934700024,35,M,179,5.6,1.Sedentary
57,0.365911649,5.894265157,3.934700024,35,M,179,5.6,1.Sedentary
60,0.236106291,5.894265157,3.934700024,35,M,179,5.6,1.Sedentary
63,0.293006404,5.894265157,3.934700024,35,M,179,5.6,1.Sedentary
66,0.564245604,5.894265157,3.934700024,35,M,179,5.6,1.Sedentary
69,0.285575545,5.894265157,3.934700024,35,M,179,5.6,1.Sedentary
72,0.249665364,5.644934887,3.770643979,35,M,179,5.6,1.Sedentary
75,0.381036236,1.102670693,0.781893764,35,M,179,5.6,1.Sedentary
72,0.208791756,1.102670693,0.781893764,35,M,179,5.6,1.Sedentary
69,0.190654347,1.102670693,0.781893764,35,M,179,5.6,1.Sedentary
65,0.158197866,1.102670693,0.781893764,35,M,179,5.6,1.Sedentary
62,0.197787312,1.102670693,0.781893764,35,M,179,5.6,1.Sedentary
59,0.110214764,1.102670693,0.781893764,35,M,179,5.6,1.Sedentary
58,0.588146948,1.102670693,0.781893764,35,M,179,5.6,1.Sedentary
56,0.311633426,1.102670693,0.781893764,35,M,179,5.6,1.Sedentary
